ResponseID,Career,ProgramDescr,Level,AcadPlan1Name,AcadPlan1,AcadPlan1Type,DormBuilding,OrignAddrCntry,Q1.a,Q1.b,Q1.c,Q1.d,Q1.e,Q1.f,Q1.g,Q1.h,Q1.1,Q1.2,Q2.a,Q2.b,Q2.c,Q2.d,Q2.e,Q2.f,Q3.a,Q3.b,Q3.c,Q3.d,Q3.e,Q3.f,Q3.g,Q3.h,Q3.i,Q3.j,Q3.k,Q3.l,Q3.m,Q3.n,Q3.o,Q3.1.a,Q3.1.b,Q3.1.c,Q3.1.d,Q4.1,Q4.2,Q4.3,Q5.1,Q5.2,Q5.3,Q5.4,Q5.5a,Q5.5.b,Q5.5.c,Q5.5.d,Q5.5.e
R_2rO7c0OrqfzfLVe,GBUS,Master of Business Admin.,Grad Yr 1,Business Administration,BUSMBA,Major,No Dorm,USA,7,7,7,6,4,6,6,1,3,3,6,5,6,7,5,6,3,5,4,4,4,4,3,3,3,5,4,5,4,5,5,1,1,0,0,2,0,1,1,4,5,1,1,0,0,0,0
R_2eV9eqlzXwDFllX,GBUS,Evening MBA,Grad Yr 2,Business Administration,BUSMBAEV,Major,No Dorm,USA,2,1,1,2,1,1,1,1,1,1,1,1,4,3,4,1,0,5,0,5,0,0,5,0,0,0,0,0,5,2,2,0,0,0,0,2,0,2,1,4,6,4,1,0,0,0,0
R_1Q9Ey2twUzn9LHv,PUBH,Master of Public Health,Grad Yr 1,Epidemiology,EPIMPH,Major,No Dorm,USA,7,7,5,5,6,5,1,5,4,4,5,6,5,5,7,4,5,4,4,0,5,4,5,5,4,2,5,3,5,3,2,1,1,0,0,2,0,1,1,3,4,1,1,0,0,0,0
R_DpAXH0qBPZj5Zjr,PUBH,Master of Public Health,Grad Yr 2,Prevention Science,PSMPH,Major,No Dorm,USA,6,6,6,5,4,2,2,5,4,5,6,7,,5,7,7,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,1,1,0,0,2,0,5,1,3,4,4,1,0,0,0,0
R_3kbqGssuvmPr2TG,GSAS,Doctor of Philosophy,Full Stdng,Sociology,SOCPHD,Major,No Dorm,USA,6,5,6,4,5,1,1,4,2,2,6,5,3,6,4,5,5,0,0,5,5,5,5,5,5,5,5,0,5,2,2,1,1,0,0,2,0,1,1,4,7,4,1,0,0,0,0
R_3EM6rE3KPoaLmb2,THEO,Master of Divinity,Prof 1,Divinity,MDVDIVIN,Major,No Dorm,USA,4,4,3,2,3,2,2,3,4,3,4,4,4,4,4,4,3,2,4,3,2,4,4,2,2,2,3,4,3,4,2,1,1,0,1,2,0,2,1,5,3,4,0,0,1,0,0
R_2R4E6Jps1TLaSGO,GSAS,Doctor of Philosophy,Adv Stdng,Biological and Biomedical Sci.,BBSPHD,Major,No Dorm,USA,5,2,4,3,1,1,1,1,1,2,3,3,2,6,2,5,4,0,4,4,4,4,4,4,0,0,4,4,4,3,3,1,1,0,0,2,0,4,1,5,5,6,0,0,0,1,0
R_3dEN5kxszkzw0hs,GSAS,Doctor of Philosophy,Adv Stdng,English,ENGLISHPHD,Major,No Dorm,USA,7,5,5,6,4,3,1,5,3,3,6,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,1,1,0,0,2,0,3,1,4,4,3,0,0,1,0,0
R_3Gx3tWQLS7hkomb,THEO,Doctor of Ministry,Grad Yr 2,Chrch Leadrship & Comm Witness,CHLDCMWTDM,Major,No Dorm,USA,5,6,5,2,2,1,1,1,2,3,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0
R_tPXXqUpM6aCyXZf,THEO,Doctor of Ministry,Grad Yr 2,Chrch Leadrship & Comm Witness,CHLDCMWTDM,Major,No Dorm,USA,6,6,7,3,5,2,1,5,4,4,7,7,7,7,7,6,4,4,5,4,5,5,5,5,5,5,5,5,5,4,4,1,1,1,0,2,0,2,1,5,4,4,0,0,1,0,0
